word	definition
commision	 n./v.委託，授權，傭金
committed	a.效忠的
commodity	n.商品 
commonsense	a.具有常識的，通情達理的
communal	a.公共的
commuter	n.經常往返者 
compact	a.壓縮的，簡明的，n.合同
companion	n.夥伴，同伴
comparable	a.可比較的
compatible	a.和諧一致的
compel	v.強迫
compensation	n.補償
competing	a.力量不相上下的
competitive	a.具備競爭能力的
compile	v.編纂
complacence	n.滿足，自滿
complement	v/n補充
complex	a.複雜的，情結
complicated	a. 複雜的
comply with	v.與...一致，照做
component	n.成分
compose of	v.由...組成
composition	n. 作文，作曲，合成物
compound	n. 化合物，混合
compress	v. 壓縮
comprise	v.組成 
conceal	 v.隱藏
concede	v. 讓步
conceive	 v.設想
conception	n.概念
concerted	a.商定的，協調的
concise	a.簡明的
concrete	n.混凝土，a.具體的 
condense	v.濃縮
conder	n.禿鷲 
conductivity	n.導電率
cona	n.圓錐
confederate	n.聯盟 
configurate	v.配置，組成，結構
confirm	v.證實
conflict	n.衝突
confront	v.面對面衝突，對抗
congenial	a.意氣相投的，性格相似的
congestion	n.擁塞
congregate	v.聚集
conifer	n.針葉樹
conjecture	v.推測，猜測
consecutive	a.連續的
consequence	 n.結果；後果
consequently	ad.合乎邏輯的
conservation	n.保護
considerably	ad.十分地，相當地
considerate	a.考慮周到的
consortium	n.國際性協會
constantly	ad.不斷地
constitution	n.章程，憲法
constrain	v.壓制，強迫
constrict	v.約事，收縮
construction	n.建築物
consume	v.消耗，花費
contemporary	a.同時代的人，當代的
contend	"v.聲稱,主張"
content	n.容量，含量
contest	"n.比賽,爭奪(地盤)"
continental	a.大陸性的
continuum	n.連續統，閉聯集
contract	v.收縮
contradict	v. 反駁矛盾
contribution	n.貢獻
controversial	a.有爭論的
convention	n.會議
converge	v.匯合
converse	v.交談
convex	a.凸的
convey	v.傳遞，運輸
convict	a.證明...有罪，宣判有罪
conviction	n.確信
coordinated	a.協調的
copy	v.仿照
coral	n.珊瑚
corona	 n.日冕
corps	 n.團隊，特殊兵種
corral	n.繩子，線，帶
correspondingly	a.相應地
corridor	n.地帶，走廊
corset	n.緊身衣
cosmic	a.宇宙的
costume	n.服飾
council	n.議會，理事會
counterbalance	v.使平衡
counterpart	n.對應的人（或物）
course	v.發展，進程
cowhand	n.牧牛工
crack	n.裂縫
craft	n.手工藝
crash	v.暴跌，墜落
crater	n.隕石坑，火山口
crawl	v.爬
creature	n.生物
credit	n.榮譽
crew	n.人員
crisscross	v.交叉
criteria	n.標準
critical	a.批評的，關鍵的
crooked	a.不老實的，欺詐的
crowbar	n.撬棍
crucial	a.至關重要的
crude	a.粗糙的，原始的
crumple	v.扭彎，弄皺
crunch	n.左右為難的困境，艱難局面
crush	v.壓塌
crust	n.地殼
crustacean	n.甲殼動物
crystal	n.晶體
cubic	a.立方的
culminate	 v.達到頂點
cumbrous	a.累贅的
curator	n.館長，監護人
curriculum	n.課程表
custodian	n.監護人，管理人
cuticle	n.表皮
cylinder	n.圓桶，圓柱體
dash	v.猛衝
daunting	a.使人畏縮的
dawn	n.黎明
dazzling	a.頭暈目眩的
debate	v.辯論，爭論(政治)
debris	n.殘骸，動物枯骨
declaration	n.申報，宣言
decline	 n./v.衰退
decorate	 v.裝飾，裝修.
defecate	"v.澄清,通大便"
deference	 n.尊重，順從
deficiency	n.缺乏，不足(帳目)
deform	v.變成畸形
deft	a.敏捷的，熟練的，靈巧的
degradation	n.降級，退化
dehydrate	v.脫水
deliberate	a.故意的，深思熟慮的
delicate	a.精美的
delta	n.三角洲
demobilize	v.復員
demolish	"v.毀壞,推翻"
dense	a.濃密的，密集的density密度
depict	v.描述
deplete	v.耗盡
deposit	v./n.儲存，沉澱，押金，存款，礦藏
depredation	n.掠奪depredate
depreciation	"n.貶值,降價"
depression	"n.精神壓抑,蕭條"
derive	"v.派生,起源"
desalination	n.脫鹽，淡化鹽水
descend	v.下降
designate	 v.指定
desirable	a.很好的，可行的，合意的
desirous	a.渴望的
desperate	a.絕望的
despoil	v.奪取，掠奪
destruction	n.毀壞
detect	"v.察覺,偵查"
deter	v. 阻止
deteriorate	v.使惡化
determinant	a. 決定性的，決定因素
devastate	v.(大面積)毀壞
device	 n. 裝置，設備
devoid	a.缺乏的，全無的
devour	v.吞食 
devout	a.虔誠的
diagonal	n./a.對角線
diameter	n.直徑
dictate	v./n. 口述，命令，聽寫
diction	n.措詞，用語
differentiate	v.區別，分化
diffuse	v.散播，擴散
digest	v.消化，摘要
digress	v.離題 
dilute	v.沖淡，稀釋 
diminish	v.縮小，變小，減少
dinosaur	n.恐龍
discard	v.拋棄
discern	v.目睹，辨別
discharge	v.釋放，放電，履行(義務)，解雇
discipline	 n.紀律
discourage	v.使氣餒，阻礙
discourse	n.演講，文章
discreet	a.謹慎的
disintegrate	v.使分解，瓦解，碎裂
dispense	v.分發，分配
disperse	v.分散，傳播
disposal	n.處理 
disposed	"v.有...傾向的,願意的"
disproportionate	 a.不成比例的，比例失調的
dispute	n./v.糾紛，爭論
disputant	n.爭論者
disrepute	n.壞名聲，不光彩
disseminate	v.傳播
dissipated	a.分散的，浪蕩的，沉迷酒色的
dissolve	v. 溶解，解散
distent	a.膨脹的，擴張的
distinct	a.不同的，清楚的
distinctive	a.有特色的，與眾不同的
distort	v.扭曲，歪曲
distract	v.轉移
distribute	" v.分發,分配,(貨物)"
diver	n.潛水夫
diverge	v.分歧，分叉
diverse	a.不同的，變化多的
diversify	v.使多樣化
diversion	n.轉換，轉移，解悶，娛樂
documentation	n.檔，記錄
dodge	v.躲開
dogma	n.教條
dolphin	n.海豚
domain	n.領域，範圍
domestic	"a.國內的,家庭的,馴服的"
dominant	a.有統治權的，佔優勢的
domination	n. 統治管轄
dormant	a.冬眠的
drain	v.排水 
dramatic	a.戲劇性的，生動的
drawback	n.缺點 退稅
drill	v.鑽n.鑽子
drought	n.乾旱
ductile	a.易延展的，易交道的，柔軟的
dump	v.傾倒(垃圾)
durable	a.持久的，耐用的
dwarf	n.矮子
eccentric	a.古怪的，反常的，n.怪人
eclipse	n.日食，月食
ecological	a.生態學的
economize	v.節約，省錢 
edentate	a.無齒的，貧齒類動物
edible	a.可食用的
edifice	n.大廈(來自聖經)
eject	v.噴射，逐出
elaborate	v.精工細做，詳細說明
elaborately	ad.苦心經營地，精巧地
electron	n.電子
elegance	a.高雅
elevation	n.海拔
elicit	v.引起，得出
eligible	a.合格的，有資格的
eliminate	v.消除
elite	n.精英
elixir	n.萬能藥，煉金藥
elliptical	a.橢圓的
elusive	"a.難懂的,難捉摸的"
embed	v.插入，嵌入
embellish	v.修飾
emboss	vt.凸出來
embryology	n.胚胎學
emerge	v.浮現
emigrate	v.移出，移居
emission	n. 排放
employ	v.雇傭，使用，利用
enact	v.頒佈
encounter	 v. 遭遇
engrave	v.雕刻
enormous	a.巨大的
entangle	v.糾纏不清
enterprise	n.事業，企業
entity	n.存在物，實體
entrepreneur	n.企業家
enzyme	n.?
epidermis	n.表皮，上皮 
epoch	n.新紀元，時代
equilibrium	n.平衡
equivalence	n.等價
erect	 v./a.豎立 
erosion	n.腐蝕，侵蝕
eruption	n.爆發，火山灰，出疹
eternal	a.永恆的
ethically	a.道德上的，倫理上的
ethnic	a.人種的，種族的
evaporate	v.蒸發
eventful	a.變故多的，多事之秋的
evergreen	a.常青的
evident	a.明顯的，顯然的
eviscerate	v.取出內臟
evoke	v.喚起，博得
evolution	n.進化
exalt	v.讚揚，晉升
excavate	v.挖掘，挖空
exceed	v.超越
excel	v.勝過
exception	n.例外，反對
excess	 n.過度，超額
exclude	v.排除
exclusive	"a.排外的,唯一的"
execution	n.執行，死刑
executive	n. 經理
exempt	v.免除，被免除的
exert	v.努力，用力氣，施加力氣
exhale	v.呼氣
exhibition	n.展覽，表現，出風頭
exobitance	n.過度，不當
expand	v. 膨脹，發展
expedition	n. 遠征，探險隊
expenditure	n.支出，花費
expertise	n. 專門技術
explicit	a.明確的
exploit	v. 開發，利用
exponential	a. 指數的
express	n. 特快專遞
expressive	a. 有表現力的，表達...的
extend	v. 向外延伸
extensive	a.廣泛的
exterior	n. 外部的，外部
external	a.外部的
extinct	a. extinct滅絕的 
extract	v.提取，拔出(牙)，精華
fabric	n.紡織品
facility	n. 設施，設備
facilitation	n.方便，簡化
faction	n. 派別，小集團，內訌
factor	n. 因素
faculty	n. 本領，能力，全體教員，系
fade	v.褪色
famine	n.饑荒
fanatic	n. 狂熱者，盲信者
fascinate	v. 著迷
fascinating	a.令人著迷的，醉人的，好玩的
fashionable	a.時髦的，流行的
fatal	a.致命的
fatigue	n./a.疲勞
faucet	n.水龍頭
fauna	n.動物群，動物志
feasible	a.可行的
feat	n. 功勞，攻擊
fencing	n. 籬笆，劍術
fend	v. 供養
fertile	a. 土地肥沃的，人有生育能力的
fertilize	v. 施肥，受精
festival	n. 節日
feverish	a.興奮的，狂熱的
fibre	n. 纖維
fiction	n. 故事，虛構
fidelity	n. 保真度
fieldresearch	n. 野外實地考察
file	v.把...歸檔，用銼刀銼
fir	n. 杉木
flare	n. 火花
flake	n. 薄片
flea	n. 跳蚤
fleeting	a. 短暫的，轉瞬即逝的
flexible	a. 靈活的，柔韌的
float	v. 漂浮
flock	n. 一群
fluctuation	n. 波動
folklore	n. 民俗學
folly	a. 愚蠢
forage	n. 草料，放牧動物
forbidden	a. 禁止的
forbidding	a.可怕的，令人難親近的
foremost	a. 最前列的
foresee	v. 預見
foreshadow	v. 預示不祥的東西來到
forge	v. 鑄造，穩步前進，偽造
formalize	v. 使形式化 
formation	n. 形成，編隊
formidable	a. 可怕的，強大的
formulate	v. 用公式表示，明確表達陳述
fort	n. 堡壘
fortify	v. 加強，鞏固
fortuitous	a.偶然的，幸運的
fossilize	v. 使成化石，使陳腐
foster	v.養育，培養
fracture	n. 骨折
fragile	a.易碎的
fragment	n. 碎片
fray	 v.磨損 n.衝突
freight	v.運貨 n.貨物，貨運
frenetic	a.發狂的
frenzy	n.狂暴
frigid	a.寒冷的
fringe	n.邊緣，劉海
frustrate	v.挫敗，使灰心
frustration	n.挫敗的狀態
fume	"v, (冒)煙，用煙熏"
function	n. 作用，功能
fungi	n. 真菌類(口)腳氣
fungus	n. 菌類，蘑菇
furnish	v.提供
fuse	n. 保險絲
galaxy	n.星系
gallery	n. 美術館，畫廊
galvanize	v. 電鍍，鼓勵
gap	n.代溝，裂口
gassy	a.氣體的，吹牛的
generation	v.產生
generous	a. 慷慨的，大方的
genetic	a. 遺傳的
genial	a. 親切的
genre	n. 文學流派(法文)
genuine	a. 真正的，真實的
giant	n.巨人，a. 巨大的
girder	n. 鋼結構大樑
glacier	n. 冰川
glamorous	a. 富有魅力的
gland	n. 腺體
glassware	n. 玻璃器皿
glimpse	v瞥見 
global	a. 全體的
gorgeous	a.華麗的，好的
gormand	n.美食家
granite	n.花崗岩
graphic	a.圖畫的，圖表的
grasshopper	n. 蝗蟲
grave	n. 墓穴，嚴重的，v. 雕刻
gravity	n.地心引力
graze	 v.放牧，吃草
grumble	v.抱怨
gulf	n. 海灣
gush	v.湧出
gymnastics	n.體操
gyration	v.旋轉
habitat	n. 動物棲息地
hail	 v.歡呼，冰雹
hallmark	n. 特點
halt	n. 停止
hamper	 v.妨礙，牽制
handcraft	n.手工藝品
harden	v. 使變硬
hardware	n.五金用品
harness	n. 馬具v.利用 
haste	n.匆忙
hatch	v. 孵卵，艙蓋
haul	v. 用力拖
haven	n. 港口，避難所
hazardous	a. 危險的
heed	 v./n.注意到
heel	n. 腳後跟
helium	n. 氦
hem	n. 邊緣 
hemisphere	n.半球
herald	n.先驅，使者
herculean	a.力大無比的
herd	n. 獸群
heritage	n. 遺產
heterogeneous	a.異類的
hibernation	n. 冬眠dormancy
hierarchy	hierarchy(hier神achy統治)等級制度，層次
highlight	n. 加亮區，突出
hinge	n. 鉸鏈
hinterland	n. 內地.落後地帶
hollow	n. 洞，空的
horizon	n. 地平線
horizontal	a. 地平線的，水準的
hostile	a. 敵意的
house	 v.給...房子住
huddle	a. 擁擠，擠作一團，雜亂的一堆
hurl	v. 用力投擲
hydrogen	n. 氫
hypersensitive	a. 過分敏感的
hypothesis	n. 假說
iceberg	n. 冰山
icicle	n. 冰柱，垂冰
icon	n.圖示，偶像
identical	a. 同一的，一模一樣的
identifiable	a. 可確認的
ideology	n. 意識形態
idiom	n. 習語
ignite	v.點燃
illuminate	v. 闡明
illusion	n. 幻覺
illustrate	v. 闡明，舉例說明，圖解
imaginary	"a. 想像的,非真實的"
imbibe	v.吸收
imitation	v. 模仿
immense	a. 極廣大的，無邊的
immobilize	v. 固定不動
immune	a. 免疫的
impact	v. 碰撞，衝擊
impair	v. 損壞，削弱
impart	 vt.給予，傳授
impediment	n.妨礙，(言語)障礙
imperative	a.命令的，強制的
impermeable	a.不能滲透的
impersonal	"a.非個人的,公正"
impersonate	v.扮演某種角色
impetuous	a.衝動的，激烈的
implement	 n.工具v.實施
implication	n.含意
implicit	a. 含蓄的
import	v./n.i進口
impose	"v.強加,徵稅"
imposing	"a. 使人難忘的, 壯麗的"
impressive	"a. 給人深刻印象的,感人的"
imprint	 v.留下烙印
imprisonment	 n.監禁，關押
improvise	v.臨時準備，即席演出 
inaccessible	" a.達不到的, 難以接近"
inactivate	"v.使不活潑, 阻止活動 "
inadequate	"a.不足夠的, 不適當的"
inappropriate	" a.不適當的, 不相稱的"
incapacitate	"vt.使無能力, 使不能勝任"
incessant	" a.不斷的, 不停的"
incident	n.偶發事件
inclination	"n.傾斜,傾向"
incongruence	n.不全等，不一致
incongruent	a.不一致的
incorporate	v. 合併，組成公司
incredible	a.難以置信的
indent	v.使成鋸齒狀，訂貨
indented	a.犬牙交錯的，高低不平的
indicate	v.指出，預示
indispensable	n./a.不可缺少的(物)
individualism	"n.個人主義, 利己主義"
inducible	"a.可誘導的, 可導致的"
induction	n.感應，歸納
industrialization	"n.工業化, 產業化"
inevitable	"a.不可避免的, 必然的"
inextricable	"a.無法解脫的, 逃脫不掉的 "
infection	n.傳染；感染力
inferiority	n.自卑；次等
infest	v.大批滋生
inflation	n.通貨膨脹
inflict	v.招來麻煩
influx	n.流入
ingenious	a.天才的，有獨創性的
ingenuous	a.真誠的，直率的
ingredient	 n.(食品)成分
inhabit	v.居住
inherit	v.繼承
inhibit	v.禁止，約束
innumerable	a.數不清的
insanity	n.精神錯亂，瘋狂(反)sanity心智健全
insight	n. 洞察力
insistence	n.堅持，堅決主張 
inspection	n.檢查，視察
inspiration	n.靈感
inspire	v.鼓勵，激勵
instantaneous	a. 瞬間的，即刻的
instinct	n. 本能
institute	n. 學院，協會
institution	n. 公共機構，制度
institutionalize	v. 使制度化
instructive	a. 有益的，有指導性的
instructor	n. 講師
instrumentalist	n.樂器演奏家
insulin	n. 胰島素
insulting	a. 侮辱性的，欺負人的
insurmountable	a. 不可超越的
intact	a.完整無缺的，尚未被人碰過的 
integral	a. 完整的，不可分割的(數)積分
integrate	v.使成整體 
intelligible	a.可理解的
intense	a. 強烈的
intensive	"a. 強烈的,精深的"
intent	n. 意圖，目的
interact	v.相互作用
interconnect	v.使互相連接
interdependent	a.相互依賴的
interference	n. 衝突，干涉
interior	a.內部的，室內的
interlock	v.互鎖
internal	a. 內在的，國內的
interpersonal	a.人與人之間的
interpretation	n. 解釋，闡明，口譯
interrupt	v.打斷(談話或行動)
interstellar	a.星際間的
interval	n. 間隔，幕間休息
intervention	n. 干涉
intimacy	n.親密關係
intoxication	n.陶醉
intriguing	a.複雜的
intrinsic	a.引起興趣的
intrude	a.內在的，固有的
invade	 v.闖入
invertebrate	 a./n.無脊椎的(動物)，無骨氣的(人)  
irresistible	a.不可抵抗的
irreverence	adj.不尊敬行為
irreversible	a. 不可逆轉的
irrevocable	a.不能取消的
irrigate	v.灌溉
isolated	a.隔離的，孤立的
jealousy	n.妒忌
jellyfish	jellyfish海蟄
jolt	v.搖晃
journalism	n.新聞業
junction	n.(道路)交叉處，接合
jury	n. 陪審團
judgement	n.法官的裁決
juxtaposition	n.並排
keen	a.熱切的，渴望的，敏銳的
kennel	n.狗窩，狗屋
kernel	n.果仁，核心
kerosene	n.煤油
kinetic	a.運動的
laborious	a.艱苦的
labyrinth	n.迷宮
lament	v./a.悲傷，哀悼
landmass	n.大陸
landscape	n. 陸地風光
landslide	n. 山崩，滑坡，崩塌的泥石
larva	n. 幼蟲
laser	n. 鐳射
lava	n.熔岩，火山岩
lavatory	n.廁所
lave	v.沐浴
layer	n. 地層
layman	n.外行
lease	 n.租約
ledge	 n.架狀突出物，暗礁，礦層，壁架
legacy	n.遺產
legume	n. 豆類，豆莢
lengthen	v.加長
lettuce	n.萵苣，生菜
limestone	n.石灰石
linger	v.逗留，拖延
litter	v. 亂丟廢物，使混亂
livelihood	n. 生計
livingquarters	n. 公寓式住房
locomote	v. 移動，行動
locomotive	n. 火車頭
log	n. 原木，航海日誌v.記錄
loom	n. 織布機v.隱現，迫近
lore	n. 民間的全部傳說和知識
lumber	n.原木，笨重地行動
luminosity	n.發光度 
luminary	n. 發光體，知識淵博的人，名人
lure	v.引誘，誘惑
lyric	n .抒情詩
magnesium	n. 鎂
magnet	n.磁體，磁鐵
magnify	 v.放大，誇張
magnitude	n.大小，數量，巨大，恒星亮度單位
majestic	a. 壯觀的
majority	n. 大多數人，多數民族
makeup	n.化妝品，補充，結構，外在包裝
malleability	 n.有延展性，柔韌性
malleable	a.有延展性的，可鍛造的 
mammal	n. 哺乳動物
mammoth	n.猛?象，a.巨大的
manoeuvre	v.操縱，演習，調動 n.策略，調動
mania	n. 狂熱病，癲狂
manifest	a.明顯的 v.表明，出現
manifestation	n.顯示，證明，示威運動
manipulate	v.熟練地操作(機器)，操縱
mansion	n. 大廈，官邸 
manual	a.手工的，n.手冊
margin	n.邊緣，利潤
marine	n.海洋的，艦隊
maritime	a.海上的，海員的
markedly	ad.顯著地，明顯地
marrow	n.骨髓，精華，元氣
mask	n.面具，v.掩蓋
masonry	n.石工術
massive	a. 巨大的，廣泛的
masterpiece	n.傑作
mate	n. 配偶，同伴 v.交配
meagre	a.瘦的，貧弱的
measures	n.措施，方法
mechanic	a.機械的
mechanism	n.機械原理，機構，機制
media	n.媒體
melodrama	n.情節劇
memorial	n.紀念品，紀念館
mercantile	 a.商人的，商業的
merchandise	n.商品，貨物
metabolism	n.新陳代謝
meteorite/meteor	n.隕石，流星
meteorology	n.氣象學
meticulous	a.謹小慎微的
metropolitan	a.首都的，大城市
micro-organism	n.微生物
microscope	n.顯微鏡
migrate	v.遷移
milestone	n.里程碑
millenarian	a.千年的
mime	n. 默劇
mimetic	a.模仿的，(生)擬態的
mingle	v.混合
miniature	n.縮小的模型，縮影
minimize	v.最小化
minuscule	 n.草寫小字，極其微小的
minute	n.分鐘，微小的
miraculous	a.奇跡的，不可思議的
mobility	n.能動性，靈活性 
mock	v.模仿性地嘲笑別人
moderate	a.適度的，中等的
modify	v.更改，修改
moisture	n.潮濕，濕氣
molecule	n. 分子
molten	v.熔化，a.熔鑄的
monochromatic	a.單色的
monopolise	v.壟斷
monument	n.紀念碑
morale	n.士氣，民心
morphology	n.形態學
mostdistinctive	a.最最傑出的，典型的
motif	n.作品的主題
motivation	n.觸動能力
mortar	n.灰泥，石臼
multifacetive	a.多方面的
multiple	n.多樣的
multistory	n.多層建築
multitude	n.多數，群眾
mundane	a. 世俗的
municipal	a.市政的
muscular	a.肌肉的，強健的
myriad	a.無數的
mysterious	a.神秘的
narcotic	a. 麻醉藥
narrater	a. 敘述者，講故事者
neat	a. 乾淨的
needy	a. 貧困的，缺乏的
neoclassical	a. 新古典主義的
neon	n.霓虹燈
nerve cord	n.骨髓
neural	a.神經系統的
neutron	n.中子
neuter	a.中性的，無性動物
niche	n.凹進去的牆壁，用來放佛龕等
nickle	n.五分鎳幣
nonconformist	n.非國教徒
nontraditional	a.非傳統的，不符合傳統的
nostalgia	 n.思鄉病
nostrum	n.秘方，民間秘方藥
notch	v.形刻痕，n.峽谷
note	n. 音符 
notorious	a.臭名昭著的
noxious	 a.有害的，有毒的
nuclei	n.核心
object to	v.反對
obscure	a.模糊的，使不明顯
obsess	v.迷住，使困擾
obstacle	n.障礙，妨礙物
occurrence	 n.發生，出現，事件
offspring	n.兒女，後代
olfactory	a.嗅覺的，能聞到的
onslaught	n.衝擊，猛攻
opaque	a.不透明的
optic	a.光學的
optimal/optimum	"a.最佳的,最理想的"
orchid	n.蘭花
ore	n.礦石
organically	ad.器官上地，有組織地，有系統地
organism	n.生物體，有機體
orientation	n.方向，定位，定向，熟悉
originality	 n.創意，新奇
ornamental	a.裝飾性的，觀賞植物
ornamentation	n.裝飾，裝飾品
ounce	n.盎司(秤黃金的單位)
outbreak	n.(戰爭的)爆發，(疾病的)發作
outlet	n.出口，出路，感情的發洩口
output	n. 產量，輸出
oval	a. 橢圓形的
overlap	 v.與...交迭
overload	v./n.超載
oversee	v. 俯瞰，監督
overtax	 v.課稅過重，使負擔過度
overwhelm	v.淹沒，壓倒，勝過一切
overwhelming	a. 壓倒性的，無法抵抗的
ox	n. 公牛
